Data,Saldo,Aporte,Base de Cálculo,Rendimento Bruto,IR (%),Rendimento Líquido,Saldo Final
12/2030,"R$ 71.080,55","R$ 1.000,00","R$ 72.080,55","R$ 756,85",15.0%,"R$ 643,32","R$ 72.723,87"
01/2031,"R$ 72.723,87","R$ 1.000,00","R$ 73.723,87","R$ 774,10",15.0%,"R$ 657,99","R$ 74.381,85"
02/2031,"R$ 74.381,85","R$ 1.000,00","R$ 75.381,85","R$ 791,51",15.0%,"R$ 672,78","R$ 76.054,64"
03/2031,"R$ 76.054,64","R$ 1.000,00","R$ 77.054,64","R$ 809,07",15.0%,"R$ 687,71","R$ 77.742,35"
04/2031,"R$ 77.742,35","R$ 1.000,00","R$ 78.742,35","R$ 826,79",15.0%,"R$ 702,78","R$ 79.445,13"
05/2031,"R$ 79.445,13","R$ 1.000,00","R$ 80.445,13","R$ 844,67",15.0%,"R$ 717,97","R$ 81.163,10"
06/2031,"R$ 81.163,10","R$ 1.000,00","R$ 82.163,10","R$ 862,71",15.0%,"R$ 733,31","R$ 82.896,40"
07/2031,"R$ 82.896,40","R$ 1.000,00","R$ 83.896,40","R$ 880,91",15.0%,"R$ 748,78","R$ 84.645,18"
08/2031,"R$ 84.645,18","R$ 1.000,00","R$ 85.645,18","R$ 899,27",15.0%,"R$ 764,38","R$ 86.409,56"
09/2031,"R$ 86.409,56","R$ 1.000,00","R$ 87.409,56","R$ 917,80",15.0%,"R$ 780,13","R$ 88.189,69"
10/2031,"R$ 88.189,69","R$ 1.000,00","R$ 89.189,69","R$ 936,49",15.0%,"R$ 796,02","R$ 89.985,71"
11/2031,"R$ 89.985,71","R$ 1.000,00","R$ 90.985,71","R$ 955,35",15.0%,"R$ 812,05","R$ 91.797,76"
12/2031,"R$ 91.797,76","R$ 1.000,00","R$ 92.797,76","R$ 974,38",15.0%,"R$ 828,22","R$ 93.625,98"
01/2032,"R$ 93.625,98","R$ 1.000,00","R$ 94.625,98","R$ 993,57",15.0%,"R$ 844,54","R$ 95.470,51"
02/2032,"R$ 95.470,51","R$ 1.000,00","R$ 96.470,51","R$ 1.012,94",15.0%,"R$ 861,00","R$ 97.331,51"
03/2032,"R$ 97.331,51","R$ 1.000,00","R$ 98.331,51","R$ 1.032,48",15.0%,"R$ 877,61","R$ 99.209,12"
04/2032,"R$ 99.209,12","R$ 1.000,00","R$ 100.209,12","R$ 1.052,20",15.0%,"R$ 894,37","R$ 101.103,49"
05/2032,"R$ 101.103,49","R$ 1.000,00","R$ 102.103,49","R$ 1.072,09",15.0%,"R$ 911,27","R$ 103.014,76"
06/2032,"R$ 103.014,76","R$ 1.000,00","R$ 104.014,76","R$ 1.092,16",15.0%,"R$ 928,33","R$ 104.943,09"
07/2032,"R$ 104.943,09","R$ 1.000,00","R$ 105.943,09","R$ 1.112,40",15.0%,"R$ 945,54","R$ 106.888,64"
08/2032,"R$ 106.888,64","R$ 1.000,00","R$ 107.888,64","R$ 1.132,83",15.0%,"R$ 962,91","R$ 108.851,54"
09/2032,"R$ 108.851,54","R$ 1.000,00","R$ 109.851,54","R$ 1.153,44",15.0%,"R$ 980,43","R$ 110.831,97"
10/2032,"R$ 110.831,97","R$ 1.000,00","R$ 111.831,97","R$ 1.174,24",15.0%,"R$ 998,10","R$ 112.830,07"
11/2032,"R$ 112.830,07","R$ 1.000,00","R$ 113.830,07","R$ 1.195,22",15.0%,"R$ 1.015,93","R$ 114.846,00"
12/2032,"R$ 114.846,00","R$ 1.000,00","R$ 115.846,00","R$ 1.216,38",15.0%,"R$ 1.033,93","R$ 116.879,93"
01/2033,"R$ 116.879,93","R$ 1.000,00","R$ 117.879,93","R$ 1.237,74",15.0%,"R$ 1.052,08","R$ 118.932,01"
02/2033,"R$ 118.932,01","R$ 1.000,00","R$ 119.932,01","R$ 1.259,29",15.0%,"R$ 1.070,39","R$ 121.002,40"
03/2033,"R$ 121.002,40","R$ 1.000,00","R$ 122.002,40","R$ 1.281,03",15.0%,"R$ 1.088,87","R$ 123.091,27"
04/2033,"R$ 123.091,27","R$ 1.000,00","R$ 124.091,27","R$ 1.302,96",15.0%,"R$ 1.107,51","R$ 125.198,78"
05/2033,"R$ 125.198,78","R$ 1.000,00","R$ 126.198,78","R$ 1.325,09",15.0%,"R$ 1.126,32","R$ 127.325,11"
06/2033,"R$ 127.325,11","R$ 1.000,00","R$ 128.325,11","R$ 1.347,41",15.0%,"R$ 1.145,30","R$ 129.470,41"
07/2033,"R$ 129.470,41","R$ 1.000,00","R$ 130.470,41","R$ 1.369,94",15.0%,"R$ 1.164,45","R$ 131.634,86"
08/2033,"R$ 131.634,86","R$ 1.000,00","R$ 132.634,86","R$ 1.392,67",15.0%,"R$ 1.183,77","R$ 133.818,63"
09/2033,"R$ 133.818,63","R$ 1.000,00","R$ 134.818,63","R$ 1.415,60",15.0%,"R$ 1.203,26","R$ 136.021,88"
10/2033,"R$ 136.021,88","R$ 1.000,00","R$ 137.021,88","R$ 1.438,73",15.0%,"R$ 1.222,92","R$ 138.244,80"
11/2033,"R$ 138.244,80","R$ 1.000,00","R$ 139.244,80","R$ 1.462,07",15.0%,"R$ 1.242,76","R$ 140.487,56"
12/2033,"R$ 140.487,56","R$ 1.000,00","R$ 141.487,56","R$ 1.485,62",15.0%,"R$ 1.262,78","R$ 142.750,34"
01/2034,"R$ 142.750,34","R$ 1.000,00","R$ 143.750,34","R$ 1.509,38",15.0%,"R$ 1.282,97","R$ 145.033,31"
02/2034,"R$ 145.033,31","R$ 1.000,00","R$ 146.033,31","R$ 1.533,35",15.0%,"R$ 1.303,35","R$ 147.336,66"
03/2034,"R$ 147.336,66","R$ 1.000,00","R$ 148.336,66","R$ 1.557,53",15.0%,"R$ 1.323,90","R$ 149.660,56"
04/2034,"R$ 149.660,56","R$ 1.000,00","R$ 150.660,56","R$ 1.581,94",15.0%,"R$ 1.344,65","R$ 152.005,21"
05/2034,"R$ 152.005,21","R$ 1.000,00","R$ 153.005,21","R$ 1.606,55",15.0%,"R$ 1.365,57","R$ 154.370,78"
06/2034,"R$ 154.370,78","R$ 1.000,00","R$ 155.370,78","R$ 1.631,39",15.0%,"R$ 1.386,68","R$ 156.757,46"
07/2034,"R$ 156.757,46","R$ 1.000,00","R$ 157.757,46","R$ 1.656,45",15.0%,"R$ 1.407,99","R$ 159.165,45"
08/2034,"R$ 159.165,45","R$ 1.000,00","R$ 160.165,45","R$ 1.681,74",15.0%,"R$ 1.429,48","R$ 161.594,92"
09/2034,"R$ 161.594,92","R$ 1.000,00","R$ 162.594,92","R$ 1.707,25",15.0%,"R$ 1.451,16","R$ 164.046,08"
10/2034,"R$ 164.046,08","R$ 1.000,00","R$ 165.046,08","R$ 1.732,98",15.0%,"R$ 1.473,04","R$ 166.519,12"
11/2034,"R$ 166.519,12","R$ 1.000,00","R$ 167.519,12","R$ 1.758,95",15.0%,"R$ 1.495,11","R$ 169.014,23"
